composer_label,title,mxl_path,chord_event_count,chord_quality_total,chord_quality_major_pct,chord_quality_minor_pct,chord_quality_diminished_pct,chord_quality_augmented_pct,chord_quality_other_pct,harmonic_density_mean,dissonance_ratio,dissonant_note_count,passing_tone_ratio,appoggiatura_ratio,other_dissonance_ratio,roman_chord_count,deceptive_cadence_ratio,modal_interchange_ratio
Mozart,Mozart Piano Sonata No. 10 in C major- 3rd Movement,/Users/victor/JuFo2026/15571083/mxl/11/10/QmTASjPmcHiPq3aLyHygoWKbwxCe9rXXDuhqiN4q6LmBCb.mxl,1401,1401,26.552462526766597,17.20199857244825,0.9992862241256246,0.0,55.24625267665952,1.92005710206995,0.2505353319057816,296,0.22635135135135134,0.013513513513513514,0.7601351351351351,1265,0.011075949367088608,0.007905138339920948
Mozart,Mozart - Sonata in Bb K 570 Movement I,/Users/victor/JuFo2026/15571083/mxl/11/1/QmT2Fednhnpvwp5DLd9xYTLnufWm4AT1Aqk5BVn4kZuoXs.mxl,1397,1397,23.83679312813171,16.821760916249104,1.288475304223336,0.0,58.05297065139585,1.9477451682176092,0.3006442376521117,331,0.1540785498489426,0.03625377643504532,0.8096676737160121,1293,0.013157894736842105,0.04021655065738593
Mozart,W. A. Mozart Allegro in Bâ Major K3.,/Users/victor/JuFo2026/15571083/mxl/7/23/QmPh9E2SVDigz7bhQx3CqCFNxD33a9G5uFVGWf2536dG7J.mxl,99,99,29.292929292929294,38.38383838383838,0.0,0.0,32.323232323232325,1.797979797979798,0.09090909090909091,36,0.027777777777777776,0.05555555555555555,0.9166666666666666,82,0.037037037037037035,0.0
Mozart,Mozart Flute Quartet in D For Flute and Piano K285,/Users/victor/JuFo2026/15571083/mxl/8/25/QmQi6RkK5b4Nxi8sQM9SMBqRBB4yr4Sgy7Vg2EV2azMtLA.mxl,1165,1165,40.257510729613735,22.23175965665236,2.575107296137339,0.0,34.93562231759657,2.378540772532189,0.384549356223176,231,0.1038961038961039,0.025974025974025976,0.8701298701298701,857,0.02219626168224299,0.07117852975495916
Mozart,W.A. Mozart: Menuet,/Users/victor/JuFo2026/15571083/mxl/17/10/QmZAwpKVi1GH5jQTXkgiM2G6DtS5GsAoDB6WuJY6MpmLhy.mxl,90,90,24.444444444444443,21.11111111111111,0.0,0.0,54.44444444444444,1.7444444444444445,0.17777777777777778,25,0.0,0.2,0.8,76,0.013333333333333334,0.0
Mozart,Mozart - Minuet & Trio - K. 1,/Users/victor/JuFo2026/15571083/mxl/5/14/QmfCULDvejZyShSRANTgFLGt4TudSaWNcuAfbV89RhdFPP.mxl,337,337,30.267062314540063,36.49851632047478,0.0,0.0,33.23442136498516,1.910979228486647,0.142433234421365,148,0.08108108108108109,0.013513513513513514,0.9054054054054054,295,0.0,0.05084745762711865
Mozart,Mozart: Minuet in F Major (K2) (easy),/Users/victor/JuFo2026/15571083/mxl/0/18/QmaENucP3iVPGGeUtgdj959VJEx116ke3SYH4X5s993nhN.mxl,93,93,21.50537634408602,21.50537634408602,0.0,0.0,56.98924731182796,1.6989247311827957,0.17204301075268819,24,0.0,0.20833333333333334,0.7916666666666666,76,0.013333333333333334,0.0
Mozart,Mozart - Lacrimosa (from the Requiem in D minor),/Users/victor/JuFo2026/15571083/mxl/2/18/QmcEUzb7QMJeTCwi57Q6nN4vT9UW6h66gMkLFW62VoDyuo.mxl,349,349,30.659025787965614,28.653295128939828,11.74785100286533,1.7191977077363898,27.22063037249284,2.842406876790831,0.5415472779369628,25,0.0,0.0,1.0,324,0.0030959752321981426,0.05864197530864197
Mozart,Mozart Sonata No.8 KV.310 1st,/Users/victor/JuFo2026/15571083/mxl/16/28/QmYkwGqdPV2gFv7GS3Lv59K6pvwbH7tzEbp2uPFvzBzFzz.mxl,1856,1856,27.96336206896552,26.77801724137931,5.334051724137931,1.6163793103448276,38.30818965517241,2.5307112068965516,0.4665948275862069,508,0.1220472440944882,0.003937007874015748,0.8740157480314961,1610,0.01305158483530143,0.06397515527950311
Mozart,Turkish March,/Users/victor/JuFo2026/15571083/mxl/9/13/QmRc72qvsdoJZcp9zVjKXy7qskvXtMCpxjhp59DreLwzv4.mxl,120,120,30.0,30.0,0.8333333333333334,3.3333333333333335,35.833333333333336,2.3333333333333335,0.375,40,0.1,0.0,0.9,112,0.06306306306306306,0.0625
Mozart,Török induló,/Users/victor/JuFo2026/15571083/mxl/7/39/QmPQMitaGzGvcaVjepEB42qdeo7ntvxkSt2Va2opYZrkU7.mxl,153,153,30.718954248366014,24.18300653594771,0.6535947712418301,2.6143790849673203,41.830065359477125,2.2679738562091503,0.35294117647058826,43,0.09302325581395349,0.0,0.9069767441860465,144,0.04895104895104895,0.1111111111111111
Mozart,Musikalisches Würfelspiel K.516f,/Users/victor/JuFo2026/15571083/mxl/13/22/QmVG74s7jJqPF6hpNVRL5cC1ZrTKHskVunsiYikJnKSj2j.mxl,838,838,45.704057279236274,12.291169451073985,1.3126491646778042,0.0,40.692124105011935,2.094272076372315,0.21121718377088305,173,0.08092485549132948,0.005780346820809248,0.9132947976878613,719,0.002785515320334262,0.0
Mozart,Burlesque - G Major,/Users/victor/JuFo2026/15571083/mxl/10/10/QmSAKUUM14Kdbhn8ZnsfvWjpoHGojgfpRLVPPUx9cfaTxa.mxl,93,93,25.806451612903224,27.956989247311824,0.0,0.0,46.236559139784944,1.7096774193548387,0.06451612903225806,31,0.1935483870967742,0.0967741935483871,0.7096774193548387,54,0.0,0.0
Mozart,W. A. Mozart Minuet in C Major K1f.,/Users/victor/JuFo2026/15571083/mxl/11/16/QmTDBFbPLYF24o8ihUjDJ5XUYpstJj2VexoBQovTLXXNsS.mxl,74,74,39.189189189189186,37.83783783783784,0.0,0.0,22.972972972972975,2.2027027027027026,0.21621621621621623,37,0.08108108108108109,0.05405405405405406,0.8648648648648649,61,0.0,0.0
Mozart,Allegro Molto in C Major - W.A. Mozart,/Users/victor/JuFo2026/15571083/mxl/8/53/QmQXVBQ8xdqEuUQqnamgZGtA7Z9N6qXQniVYRXmsPeQBme.mxl,1790,1790,13.40782122905028,14.30167597765363,0.33519553072625696,0.0,71.95530726256983,1.6150837988826816,0.21955307262569831,476,0.15546218487394958,0.004201680672268907,0.8403361344537815,1709,0.02107728337236534,0.003510825043885313
Mozart,Arie des Papageno,/Users/victor/JuFo2026/15571083/mxl/7/53/QmPXeDX6QxMNPHCNDoUGUkTYf5ZnHaBELsYHu1YyLfEk9Z.mxl,154,154,31.16883116883117,23.376623376623375,0.0,0.0,45.45454545454545,1.9870129870129871,0.2792207792207792,27,0.3333333333333333,0.037037037037037035,0.6296296296296297,141,0.04285714285714286,0.0070921985815602835
Mozart,Mozart: Tuba Mirum,/Users/victor/JuFo2026/15571083/mxl/1/4/Qmb5A9LjUaLuQmCeHjqWDwhU5yLkV2C3pJ4UmK8b5FrG71.mxl,83,83,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0,,,,80,0.0379746835443038,0.0
